season,utcDate,matchday,homeTeam,awayTeam,homeScore,awayScore,winner
2023,2023-12-03T18:30:00Z,13,FC Augsburg,Eintracht Frankfurt,2,1,HOME_TEAM
2023,2023-12-08T19:30:00Z,14,TSG 1899 Hoffenheim,VfL Bochum 1848,3,1,HOME_TEAM
2023,2023-12-09T14:30:00Z,14,1. FC Union Berlin,Borussia Mönchengladbach,3,1,HOME_TEAM
2023,2023-12-09T14:30:00Z,14,Eintracht Frankfurt,FC Bayern München,5,1,HOME_TEAM
2023,2023-12-09T14:30:00Z,14,VfL Wolfsburg,SC Freiburg,0,1,AWAY_TEAM
2023,2023-12-09T14:30:00Z,14,SV Werder Bremen,FC Augsburg,2,0,HOME_TEAM
2023,2023-12-09T14:30:00Z,14,1. FC Heidenheim 1846,SV Darmstadt 98,3,2,HOME_TEAM
2023,2023-12-09T17:30:00Z,14,Borussia Dortmund,RB Leipzig,2,3,AWAY_TEAM
2023,2023-12-10T14:30:00Z,14,VfB Stuttgart,Bayer 04 Leverkusen,1,1,DRAW
2023,2023-12-10T16:30:00Z,14,1. FC Köln,1. FSV Mainz 05,0,0,DRAW
2023,2023-12-15T19:30:00Z,15,Borussia Mönchengladbach,SV Werder Bremen,2,2,DRAW
2023,2023-12-16T14:30:00Z,15,1. FSV Mainz 05,1. FC Heidenheim 1846,0,1,AWAY_TEAM
2023,2023-12-16T14:30:00Z,15,VfL Bochum 1848,1. FC Union Berlin,3,0,HOME_TEAM
2023,2023-12-16T14:30:00Z,15,FC Augsburg,Borussia Dortmund,1,1,DRAW
2023,2023-12-16T14:30:00Z,15,SV Darmstadt 98,VfL Wolfsburg,0,1,AWAY_TEAM
2023,2023-12-16T17:30:00Z,15,RB Leipzig,TSG 1899 Hoffenheim,3,1,HOME_TEAM
2023,2023-12-17T14:30:00Z,15,SC Freiburg,1. FC Köln,2,0,HOME_TEAM
2023,2023-12-17T16:30:00Z,15,Bayer 04 Leverkusen,Eintracht Frankfurt,3,0,HOME_TEAM
2023,2023-12-17T18:30:00Z,15,FC Bayern München,VfB Stuttgart,3,0,HOME_TEAM
2023,2023-12-19T17:30:00Z,16,SV Werder Bremen,RB Leipzig,1,1,DRAW
2023,2023-12-19T19:30:00Z,16,Borussia Dortmund,1. FSV Mainz 05,1,1,DRAW
2023,2023-12-19T19:30:00Z,16,TSG 1899 Hoffenheim,SV Darmstadt 98,3,3,DRAW
2023,2023-12-20T17:30:00Z,16,1. FC Union Berlin,1. FC Köln,2,0,HOME_TEAM
2023,2023-12-20T19:30:00Z,16,Bayer 04 Leverkusen,VfL Bochum 1848,4,0,HOME_TEAM
2023,2023-12-20T19:30:00Z,16,Eintracht Frankfurt,Borussia Mönchengladbach,2,1,HOME_TEAM
2023,2023-12-20T19:30:00Z,16,VfL Wolfsburg,FC Bayern München,1,2,AWAY_TEAM
2023,2023-12-20T19:30:00Z,16,VfB Stuttgart,FC Augsburg,3,0,HOME_TEAM
2023,2023-12-20T19:30:00Z,16,1. FC Heidenheim 1846,SC Freiburg,3,2,HOME_TEAM
2023,2024-01-12T19:30:00Z,17,FC Bayern München,TSG 1899 Hoffenheim,3,0,HOME_TEAM
2023,2024-01-13T14:30:00Z,17,RB Leipzig,Eintracht Frankfurt,0,1,AWAY_TEAM
2023,2024-01-13T14:30:00Z,17,SC Freiburg,1. FC Union Berlin,0,0,DRAW
2023,2024-01-13T14:30:00Z,17,1. FSV Mainz 05,VfL Wolfsburg,1,1,DRAW
2023,2024-01-13T14:30:00Z,17,1. FC Köln,1. FC Heidenheim 1846,1,1,DRAW
2023,2024-01-13T14:30:00Z,17,FC Augsburg,Bayer 04 Leverkusen,0,1,AWAY_TEAM
2023,2024-01-13T17:30:00Z,17,SV Darmstadt 98,Borussia Dortmund,0,3,AWAY_TEAM
2023,2024-01-14T14:30:00Z,17,VfL Bochum 1848,SV Werder Bremen,1,1,DRAW
2023,2024-01-14T16:30:00Z,17,Borussia Mönchengladbach,VfB Stuttgart,3,1,HOME_TEAM
2023,2024-01-20T14:30:00Z,18,1. FC Köln,Borussia Dortmund,0,4,AWAY_TEAM
2023,2024-01-20T14:30:00Z,18,SV Darmstadt 98,Eintracht Frankfurt,2,2,DRAW
